tanggal,produk,kota,harga_satuan,jumlah,pendapatan
2025-03-18,Mie Ayam,Medan,20000,4,80000
2025-03-02,Roti Bakar,Surabaya,15000,6,90000
2025-04-17,Es Jeruk,Medan,10000,5,50000
2025-01-15,Nasi Goreng,Bandung,25000,5,125000
2025-01-16,Es Jeruk,Jakarta,10000,4,40000
2025-06-22,Nasi Goreng,Surabaya,25000,7,175000
2025-04-17,Mie Ayam,Surabaya,20000,1,20000
2025-04-24,Nasi Goreng,Medan,25000,6,150000
2025-02-19,Es Jeruk,Jakarta,10000,8,80000
2025-07-04,Kopi Susu,Surabaya,18000,7,126000
2025-03-26,Smoothie Bowl,Surabaya,35000,3,105000
2025-06-19,Es Jeruk,Medan,10000,8,80000
2025-02-26,Roti Bakar,Bandung,15000,2,30000
2025-02-26,Nasi Goreng,Surabaya,25000,6,150000
2025-05-24,Kopi Susu,Yogyakarta,18000,2,36000
2025-04-03,Kopi Susu,Jakarta,18000,6,108000
2025-05-13,Mie Ayam,Surabaya,20000,8,160000
2025-01-25,Roti Bakar,Bandung,15000,1,15000
